id,topic,claim,source_url,publisher,date_accessed,method,confidence
L01,pdpa,"PDPA B.E. 2562: biometric data used for identification is sensitive personal data under s.26; explicit consent or legal exception required",https://securiti.ai/thailand-personal-data-protection-act-pdpa/,Securiti,2026-09-02,search-snippet,high
L02,pdpa,"PDPC opened public consultation (Mar 2026) on new PDPA guidelines; CCTV data collection is one of six priority areas; public hearing 1-2 Apr 2026; formal guidance expected H2 2026",https://www.tilleke.com/insights/thailands-public-consultation-on-proposed-pdpa-guidelines-key-updates/13/,Tilleke & Gibbins,2026-09-02,search-snippet,high
L03,alcohol,"Alcoholic Beverage Control Act (No.2) B.E. 2568 published Gazette 9 Sep 2025, effective 8 Nov 2025; sellers must verify age (20+) and sobriety; vending machines allowed if they can verify buyer identity per Committee rules; seller civil liability for damage caused by underage/intoxicated buyers",https://www.tilleke.com/insights/thailands-updated-alcohol-law-balances-public-health-and-tourism/,Tilleke & Gibbins,2026-09-02,search-snippet,high
L04,alcohol,"Regulations of 1 Dec 2025 effective 3 Dec 2025: sale 11:00-24:00; 14:00-17:00 window provisional to 31 May 2026",https://www.bakermckenzie.com/en/insight/publications/alerts/2025/12/thailand-new-alcohol-sales-and-consumption-rules,Baker McKenzie,2026-09-02,search-snippet,high
L05,alcohol,"Committee notice published Royal Gazette 28 May 2026, effective 29 May 2026: 11:00-24:00 sale hours permanent, no afternoon break",https://www.nationthailand.com/news/general/40066792,Nation Thailand,2026-09-02,search-snippet,high
L06,tobacco,"Tobacco Products Control Act B.E. 2560 effective 5 Jul 2017: no sale under 20; no retail display; no vending machines; no sale via electronic media/computer networks; up to 3 months jail / THB 30,000 for age violations",https://www.lawplusltd.com/2017/08/tobacco-products-control-act-thailand-comes-force/,LawPlus,2026-09-02,search-snippet,high
L07,metrology,"Central Bureau of Weights and Measures (Dept of Internal Trade, Ministry of Commerce) is Thailand's legal metrology authority under Weights and Measures Act B.E. 2542; 28 local offices + 4 regional centres",https://www.aplmf.org/thailand.html,APLMF,2026-09-02,search-snippet,high
L08,price-display,"Prices of Goods and Services Act B.E. 2542 s.28: must display prices per unit in Arabic numerals; violations of s.29-31 up to 7 years / THB 140,000; most enforcement is for missing price tags",https://www2.austlii.edu.au/~graham/AsianLII/Thai_Translation/Price%20of%20Goods%20and%20Services%20Act.pdf,AustLII translation,2026-09-02,search-snippet,high
L09,vat,"VAT registration mandatory when annual turnover exceeds THB 1.8 million; Form VAT 01 within 30 days of exceeding",https://www.forvismazars.com/th/en/insights/doing-business-in-thailand/tax/value-added-tax-vat-in-thailand,Forvis Mazars,2026-09-02,search-snippet,high
L10,theft,"Criminal Code s.334 theft: up to 3 years imprisonment and/or fine up to THB 60,000; prosecuted regardless of value",https://library.siam-legal.com/thai-law/criminal-code-theft-sections-334-336-2/,Siam Legal,2026-09-02,search-snippet,high
I01,licence,"PyQt5 is GPL v3 (or Riverbank commercial); distributing an app on it requires GPL release of whole app or paid licence; PySide6 is LGPL v3 and permits proprietary distribution",https://www.pythonguis.com/faq/pyqt-vs-pyside/,PythonGUIs,2026-09-02,search-snippet,high
I02,licence,"Ultralytics YOLO and trained models are AGPL-3.0; proprietary/internal commercial use requires Enterprise License or open-sourcing entire derivative incl. weights",https://www.ultralytics.com/license,Ultralytics,2026-09-02,search-snippet,high
I03,patent,"Mashgin US20150109451A1 'Automated object recognition kiosk for retail checkouts' (multi-image capture + object recognition); US app 16/104087 'Fast item identification for checkout counter' (items in motion, several cameras)",https://patents.google.com/patent/US20150109451A1/en,Google Patents,2026-09-02,search-snippet,high
I04,patent,"Prior art: US7909248B1 / US8196822B2 'Self checkout with visual recognition' (Evolution Robotics/Datalogic era); US20130304595A1 'Automatic learning in a merchandise checkout system with visual recognition'; US12548004B2 'vision-assisted checkout'",https://patents.google.com/patent/US20130304595,Google Patents,2026-09-02,search-snippet,medium
M01,market,"Global self-checkout market USD 5.3 bn (2025), CAGR 13.7% 2026-2035 (GMI)",https://www.gminsights.com/industry-analysis/self-checkout-system-market,Global Market Insights,2026-09-02,search-snippet,medium
M02,market,"Global self-checkout market USD 6.30 bn (2025) to 21.61 bn (2034), CAGR 14.6% (Fortune Business Insights)",https://www.fortunebusinessinsights.com/self-checkout-system-market-106779,Fortune Business Insights,2026-09-02,search-snippet,medium
M03,market,"Global self-checkout market USD 5.17 bn (2024), 5.78 bn (2025), CAGR 11.55% to 9.98 bn by 2030 (360iResearch)",https://www.360iresearch.com/library/intelligence/self-checkout-systems,360iResearch,2026-09-02,search-snippet,medium
M04,shrink,"NRF 2024 National Retail Security Survey: average shrink 1.68% of revenue, ~USD 112 bn; NRF did not release the old-format shrink report in 2024, replaced by theft & violence report",https://nrf.com/research/national-retail-security-survey-2023,NRF via Everseen/iCape summaries,2026-09-02,search-snippet,medium
M05,shrink,"UK stores with self-checkout: average shrink 1.96% vs 1.35% without; self-checkout loss ~0.46% of SCO sales (2024 est.)",https://surveillant.ai/guides/self-checkout-theft-statistics,Surveillant.ai (secondary),2026-09-02,search-snippet,low
M06,shrink,"LendingTree Dec 2025 survey (n>2050 US adults): 27% admit intentionally not scanning an item (15% in 2023); millennials 41%, Gen Z 37%, boomers 2%; >$100k households 40% vs <$49,999 17%; 55% say they will do it again",https://www.lendingtree.com/debt-consolidation/checkout-theft-survey/,LendingTree,2026-09-02,search-snippet,high
M07,backlash,"Grabango ceased operations Oct 2024 after failing to raise funding; raised >USD 71 m since 2016",https://www.cnbc.com/2024/10/09/amazon-just-walk-out-rival-shutters-after-failing-to-secure-funding.html,CNBC,2026-09-02,search-snippet,high
M08,backlash,"Amazon removed Just Walk Out from its Fresh grocery stores (Apr 2024), now sells JWO to third-party venues (stadiums, airports, campuses); Whole Foods removed it from two stores",https://www.grocerydive.com/news/amazon-just-walk-out-checkout-payment-smart-cart-grocery/712020/,Grocery Dive,2026-09-02,search-snippet,high
